Id,Time,Machine,Component,Parameter,Value
1,2024-08-11T03:19:11.439413Z,Excavator_1,Engine,Engine Oil Pressure,73.12
2,2024-08-11T03:19:11.439413Z,Excavator_1,Engine,Engine Temperature,109.43
3,2024-08-11T03:19:11.439413Z,Excavator_1,Engine,Engine Speed,1809.02
4,2024-08-11T03:19:11.439413Z,Excavator_1,Fuel,Water Fuel,1802.8
5,2024-08-11T03:19:11.439413Z,Excavator_1,Fuel,Fuel Temperature,409.54
6,2024-08-11T03:19:11.439413Z,Excavator_1,Fuel,Fuel Level,0.0
7,2024-08-11T03:19:11.439413Z,Excavator_1,Fuel,Fuel Pressure,65.23
8,2024-08-11T03:19:11.439413Z,Excavator_1,Drive,Brake Control,0.0
9,2024-08-11T03:19:11.439413Z,Excavator_1,Drive,Pedal Sensor,5.45
10,2024-08-11T03:19:11.439413Z,Excavator_1,Drive,Transmission Pressure,456.65
11,2024-08-11T03:19:11.439413Z,Excavator_1,Misc,Air Filter Pressure Drop,13.09
12,2024-08-11T03:19:11.439413Z,Excavator_1,Misc,System Voltage,22.96
13,2024-08-11T03:19:11.439413Z,Excavator_1,Misc,Exhaust Gas Temperature,368.8
14,2024-08-11T03:19:11.439413Z,Excavator_1,Misc,Hydraulic Pump Rate,126.15
15,2024-08-11T03:19:11.439413Z,Articulated_Truck_1,Engine,Engine Oil Pressure,15.99
16,2024-08-11T03:19:11.439413Z,Articulated_Truck_1,Engine,Engine Temperature,109.43
17,2024-08-11T03:19:11.439413Z,Articulated_Truck_1,Engine,Engine Speed,1809.02
18,2024-08-11T03:19:11.439413Z,Articulated_Truck_1,Fuel,Water Fuel,1802.8
19,2024-08-11T03:19:11.439413Z,Articulated_Truck_1,Fuel,Fuel Temperature,409.54
20,2024-08-11T03:19:11.439413Z,Articulated_Truck_1,Fuel,Fuel Level,0.0
21,2024-08-11T03:19:11.439413Z,Articulated_Truck_1,Fuel,Fuel Pressure,33.91
22,2024-08-11T03:19:11.439413Z,Articulated_Truck_1,Drive,Brake Control,0.0
23,2024-08-11T03:19:11.439413Z,Articulated_Truck_1,Drive,Pedal Sensor,5.45
24,2024-08-11T03:19:11.439413Z,Articulated_Truck_1,Drive,Transmission Pressure,197.72
25,2024-08-11T03:19:11.439413Z,Articulated_Truck_1,Misc,Air Filter Pressure Drop,13.09
26,2024-08-11T03:19:11.439413Z,Articulated_Truck_1,Misc,System Voltage,5.69
27,2024-08-11T03:19:11.439413Z,Articulated_Truck_1,Misc,Exhaust Gas Temperature,368.8
28,2024-08-11T03:19:11.439413Z,Articulated_Truck_1,Misc,Hydraulic Pump Rate,126.15
29,2024-08-11T03:19:11.439413Z,Backhoe_Loader_1,Engine,Engine Oil Pressure,74.64
30,2024-08-11T03:19:11.439413Z,Backhoe_Loader_1,Engine,Engine Temperature,109.43
31,2024-08-11T03:19:11.439413Z,Backhoe_Loader_1,Engine,Engine Speed,1809.02
32,2024-08-11T03:19:11.439413Z,Backhoe_Loader_1,Fuel,Water Fuel,1802.8
33,2024-08-11T03:19:11.439413Z,Backhoe_Loader_1,Fuel,Fuel Temperature,409.54
34,2024-08-11T03:19:11.439413Z,Backhoe_Loader_1,Fuel,Fuel Level,0.0
35,2024-08-11T03:19:11.439413Z,Backhoe_Loader_1,Fuel,Fuel Pressure,70.62
36,2024-08-11T03:19:11.439413Z,Backhoe_Loader_1,Drive,Brake Control,0.0
37,2024-08-11T03:19:11.439413Z,Backhoe_Loader_1,Drive,Pedal Sensor,5.45
38,2024-08-11T03:19:11.439413Z,Backhoe_Loader_1,Drive,Transmission Pressure,455.95
39,2024-08-11T03:19:11.439413Z,Backhoe_Loader_1,Misc,Air Filter Pressure Drop,13.09
40,2024-08-11T03:19:11.439413Z,Backhoe_Loader_1,Misc,System Voltage,24.3
41,2024-08-11T03:19:11.439413Z,Backhoe_Loader_1,Misc,Exhaust Gas Temperature,368.8
